Genesymbol,Chromosome,ucsc_ID_SNP,F1i_CAST_Reads,F1i_C57_Reads,F1r_CAST_Reads,F1r_C57_Reads,F1i_Chi_Pvalue,F1r_Chi_Pvalue,F1i_parental_bias,F1r_parental_bias,sample,ie_status,parent
1810044A24Rik,chr15,uc007wbm.1_424,81,25,17,44,5.35E-08,0.000546233,0.764151,0.721311,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_3746,88,49,39,96,0.000862258,9.31E-07,0.642336,0.711111,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_3705,128,72,49,133,7.50E-05,4.77E-10,0.64,0.730769,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_3217,39,22,15,41,0.0295084,0.000512005,0.639344,0.732143,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_2746,39,9,10,26,1.49E-05,0.00766076,0.8125,0.722222,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_2431,67,28,9,57,6.30E-05,3.45E-09,0.705263,0.863636,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_2410,45,12,15,48,1.24E-05,3.22E-05,0.789474,0.761905,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_2086,49,23,10,38,0.00218304,5.31E-05,0.680556,0.791667,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_1885,41,16,25,51,0.000928533,0.00285994,0.719298,0.671053,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbm.1_1612,27,14,7,26,0.0423302,0.00094141,0.658537,0.787879,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_865,27,14,7,26,0.0423302,0.00094141,0.658537,0.787879,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_2999,88,49,39,96,0.000862258,9.31E-07,0.642336,0.711111,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_2958,128,72,49,133,7.50E-05,4.77E-10,0.64,0.730769,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_2470,39,22,15,41,0.0295084,0.000512005,0.639344,0.732143,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_1999,39,9,10,26,1.49E-05,0.00766076,0.8125,0.722222,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_1684,67,28,9,57,6.30E-05,3.45E-09,0.705263,0.863636,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_1663,45,12,15,48,1.24E-05,3.22E-05,0.789474,0.761905,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_1339,49,23,10,38,0.00218304,5.31E-05,0.680556,0.791667,mpfc,known,maternal
1810044A24Rik,chr15,uc007wbl.1_1138,41,16,25,51,0.000928533,0.00285994,0.719298,0.671053,mpfc,known,maternal
1810048J11Rik,chr12,uc007nvr.1_450,22,10,8,19,0.0338949,0.034264,0.6875,0.703704,mpfc,,maternal
1810048J11Rik,chr12,uc007nvq.1_450,22,10,8,19,0.0338949,0.034264,0.6875,0.703704,mpfc,,maternal
2310010M24Rik,chr2,uc008jpz.1_1969,9,2,2,9,0.0348085,0.0348085,0.818182,0.818182,mpfc,,maternal
4930500O05Rik,chr4,uc008sqv.1_3499,13,3,6,19,0.0124193,0.00932238,0.8125,0.76,mpfc,,maternal
Adar,chr3,uc008pzz.1_2862,73,49,42,65,0.029791,0.0261825,0.598361,0.607477,mpfc,,maternal
Adar,chr3,uc008pzy.1_2784,73,49,42,65,0.029791,0.0261825,0.598361,0.607477,mpfc,,maternal
Adar,chr3,uc008pzx.1_4294,73,49,42,65,0.029791,0.0261825,0.598361,0.607477,mpfc,,maternal
Adar,chr3,uc008pzv.1_4330,73,49,42,65,0.029791,0.0261825,0.598361,0.607477,mpfc,,maternal
Add2,chr6,uc009cri.1_725,36,16,13,29,0.00554567,0.0135547,0.692308,0.690476,mpfc,,maternal
Add2,chr6,uc009crh.1_728,36,16,13,29,0.00554567,0.0135547,0.692308,0.690476,mpfc,,maternal
Add2,chr6,uc009crg.1_728,36,16,13,29,0.00554567,0.0135547,0.692308,0.690476,mpfc,,maternal
Add2,chr6,uc009crf.1_913,36,16,13,29,0.00554567,0.0135547,0.692308,0.690476,mpfc,,maternal
Add2,chr6,uc009cre.1_916,36,16,13,29,0.00554567,0.0135547,0.692308,0.690476,mpfc,,maternal
Add2,chr6,uc009crd.1_916,36,16,13,29,0.00554567,0.0135547,0.692308,0.690476,mpfc,,maternal
ADD2,chr6,uc009crc.1_916,36,16,13,29,0.00554567,0.0135547,0.692308,0.690476,mpfc,,maternal
AF498300,chr12,uc007paz.1_165,53,0,0,25,3.34E-13,5.73E-07,0.996241,0.992063,mpfc,known,maternal
AF498300,chr12,uc007paz.1_47,43,1,0,61,2.42E-10,5.71E-15,0.975057,0.996732,mpfc,known,maternal
AF498300,chr12,uc007paz.1_116,57,0,0,25,4.36E-14,5.73E-07,0.996503,0.992063,mpfc,known,maternal
AJ517767,chr12,uc007pbd.1_984,100,8,7,201,8.54E-19,3.02E-41,0.925926,0.966346,mpfc,known,maternal
AJ517767,chr12,uc007pbd.1_834,52,4,0,46,1.41E-10,1.18E-11,0.928571,0.995671,mpfc,known,maternal
AJ517767,chr12,uc007pbd.1_962,97,19,11,206,4.42E-13,5.33E-40,0.836207,0.949309,mpfc,known,maternal
AJ517767,chr12,uc007pbd.1_827,62,4,0,45,9.38E-13,1.97E-11,0.939394,0.995575,mpfc,known,maternal
AK039254,chr14,uc007szp.1_431,9,1,5,14,0.011412,0.0389475,0.891089,0.736842,mpfc,,maternal
Akap2,chr4,uc008syn.1_4661,37,19,15,28,0.0161569,0.0474254,0.660714,0.651163,mpfc,,maternal
Akap2,chr4,uc008sym.1_4840,37,19,15,28,0.0161569,0.0474254,0.660714,0.651163,mpfc,,maternal
Akap2,chr4,uc008syl.1_4879,37,19,15,28,0.0161569,0.0474254,0.660714,0.651163,mpfc,,maternal
Akap2,chr4,uc008syk.1_4306,37,19,15,28,0.0161569,0.0474254,0.660714,0.651163,mpfc,,maternal
Akap2,chr4,uc008syj.1_4485,37,19,15,28,0.0161569,0.0474254,0.660714,0.651163,mpfc,,maternal
Akap2,chr4,uc008syi.1_4900,37,19,15,28,0.0161569,0.0474254,0.660714,0.651163,mpfc,,maternal
Arf3,chr15,uc007xnp.1_2916,736,645,748,878,0.0143353,0.00126453,0.532947,0.539975,mpfc,,maternal
Ccdc55,chr11,uc007kgg.1_1128,31,16,14,39,0.0286714,0.000594713,0.659574,0.735849,mpfc,,maternal
Clcn2,chr16,uc007yqy.1_2372,42,20,26,45,0.005206,0.0241405,0.677419,0.633803,mpfc,,maternal
Clip2,chr5,uc008zwj.1_4329,100,74,57,96,0.0487176,0.00161622,0.574713,0.627451,mpfc,,maternal
Clip2,chr5,uc008zwi.1_4434,100,74,57,96,0.0487176,0.00161622,0.574713,0.627451,mpfc,,maternal
Copg2,chr6,uc009bfv.1_1947,50,14,17,73,6.80E-06,3.57E-09,0.78125,0.811111,mpfc,known,maternal
Copg2,chr6,uc009bfv.1_1908,114,24,36,93,1.84E-14,5.21E-07,0.826087,0.72093,mpfc,known,maternal
Copg2,chr6,uc009bfv.1_156,155,61,38,152,1.60E-10,1.33E-16,0.717593,0.8,mpfc,known,maternal
Copg2,chr6,uc009bfv.1_1203,84,29,21,77,2.29E-07,1.54E-08,0.743363,0.785714,mpfc,known,maternal
D130043K22Rik,chr13,uc007pwn.1_4145,9,2,4,12,0.0348085,0.0455003,0.818182,0.75,mpfc,,maternal
Def8,chr8,uc009nwb.1_1709,33,16,14,27,0.0151584,0.0423302,0.673469,0.658537,mpfc,,maternal
Def8,chr8,uc009nwa.1_1746,33,16,14,27,0.0151584,0.0423302,0.673469,0.658537,mpfc,,maternal
Def8,chr8,uc009nvz.1_1724,33,16,14,27,0.0151584,0.0423302,0.673469,0.658537,mpfc,,maternal
Def8,chr8,uc009nvy.1_1637,33,16,14,27,0.0151584,0.0423302,0.673469,0.658537,mpfc,,maternal
Dopey2,chr16,uc007zzw.1_5993,52,29,20,35,0.0106018,0.0431144,0.641975,0.636364,mpfc,,maternal
Dopey2,chr16,uc007zzv.1_5971,52,29,20,35,0.0106018,0.0431144,0.641975,0.636364,mpfc,,maternal
DQ715667,chr15,uc007wbs.1_260,40,11,17,51,4.89E-05,3.74E-05,0.784314,0.75,mpfc,,maternal
Gtl2,chr12,uc007pat.1_1245,9,1,0,62,0.011412,3.43E-15,0.891089,0.996785,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_473,140,2,0,146,5.16E-31,1.30E-33,0.985222,0.998632,mpfc,known,maternal
Gtl2,chr12,uc007pav.1_801,77,1,1,82,7.61E-18,6.06E-19,0.985915,0.986763,mpfc,known,maternal
Gtl2,chr12,uc007pav.1_315,1927,74,0,1828,0,0,0.963018,0.999891,mpfc,known,maternal
Gtl2,chr12,uc007pav.1_536,162,6,2,163,2.31E-33,4.87E-36,0.964286,0.98728,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_4087,1251,17,0,1296,0,0,0.986593,0.999846,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_3903,296,5,0,806,0,0,0.983389,0.999752,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_3889,418,11,1,955,0,0,0.974359,0.99885,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_3896,376,3,0,926,0,0,0.991823,0.999784,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_3776,39,10,3,1866,3.43E-05,0,0.795918,0.998395,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_2634,418,4,0,583,0,0,0.990287,0.999657,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_2095,553,13,0,282,0,0,0.977032,0.999291,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_2323,932,16,0,1000,0,0,0.983122,0.9998,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_1025,1927,74,0,1828,0,0,0.963018,0.999891,mpfc,known,maternal
Gtl2,chr12,uc007pau.1_1575,214,5,0,322,2.80E-45,0,0.977169,0.999379,mpfc,known,maternal
Gtl2,chr12,uc007pat.1_1693,77,1,1,82,7.61E-18,6.06E-19,0.985915,0.986763,mpfc,known,maternal
Gtl2,chr12,uc007pat.1_1023,1927,74,0,1828,0,0,0.963018,0.999891,mpfc,known,maternal
Gtl2,chr12,uc007pat.1_1428,30,3,2,72,2.60E-06,4.04E-16,0.909091,0.97166,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_5590,296,5,0,806,0,0,0.983389,0.999752,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_5774,1251,17,0,1296,0,0,0.986593,0.999846,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_5583,375,3,0,926,0,0,0.991801,0.999784,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_5576,417,11,1,955,0,0,0.974299,0.99885,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_4321,418,4,0,583,0,0,0.990287,0.999657,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_5463,39,10,3,1866,3.43E-05,0,0.795918,0.998395,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_4010,932,16,0,1001,0,0,0.983122,0.9998,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_3782,553,12,0,282,0,0,0.978761,0.999291,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_2712,1927,74,0,1828,0,0,0.963018,0.999891,mpfc,known,maternal
Gtl2,chr12,uc007pas.1_3262,214,5,0,322,2.80E-45,0,0.977169,0.999379,mpfc,known,maternal
Gtl2,chr12,uc007par.1_1836,77,1,1,82,7.61E-18,6.06E-19,0.985915,0.986763,mpfc,known,maternal
Gtl2,chr12,uc007par.1_1571,162,6,2,163,2.31E-33,4.87E-36,0.964286,0.98728,mpfc,known,maternal
Gtl2,chr12,uc007par.1_1350,1927,74,0,1828,0,0,0.963018,0.999891,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_4103,296,5,0,806,0,0,0.983389,0.999752,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_4287,1251,17,0,1296,0,0,0.986593,0.999846,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_4096,376,3,0,926,0,0,0.991823,0.999784,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_4089,418,11,1,955,0,0,0.974359,0.99885,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_3976,39,10,3,1866,3.43E-05,0,0.795918,0.998395,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_2834,418,4,0,583,0,0,0.990287,0.999657,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_2523,932,16,0,1000,0,0,0.983122,0.9998,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_1775,213,5,0,322,4.20E-45,0,0.977064,0.999379,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_2295,553,12,0,282,0,0,0.978761,0.999291,mpfc,known,maternal
Gtl2,chr12,uc007paq.1_1225,1927,74,0,1828,0,0,0.963018,0.999891,mpfc,known,maternal
H13,chr2,uc008ngc.1_1134,67,8,12,59,9.58E-12,2.43E-08,0.893333,0.830986,mpfc,known,maternal
H13,chr2,uc008ngd.1_869,138,18,10,110,7.42E-22,6.93E-20,0.884615,0.916667,mpfc,known,maternal
H13,chr2,uc008ngd.1_342,34,5,3,26,3.42E-06,1.95E-05,0.871795,0.893471,mpfc,known,maternal
H13,chr2,uc008ngd.1_3056,10,1,1,10,0.00665561,0.00665561,0.900901,0.900901,mpfc,known,maternal
H13,chr2,uc008ngd.1_2563,15,0,2,11,0.000107511,0.0125549,0.986842,0.839695,mpfc,known,maternal
H13,chr2,uc008ngd.1_1793,26,2,1,10,5.74E-06,0.00665561,0.925267,0.900901,mpfc,known,maternal
H13,chr2,uc008ngd.1_1777,36,3,1,15,1.26E-07,0.000465258,0.923077,0.931677,mpfc,known,maternal
H13,chr2,uc008ngd.1_1027,88,15,20,141,6.34E-13,1.48E-21,0.854369,0.875776,mpfc,known,maternal
H13,chr2,uc008ngc.1_995,138,18,10,110,7.42E-22,6.93E-20,0.884615,0.916667,mpfc,known,maternal
H13,chr2,uc008ngc.1_342,34,5,3,26,3.42E-06,1.95E-05,0.871795,0.893471,mpfc,known,maternal
H13,chr2,uc008ngc.1_3382,10,1,1,10,0.00665561,0.00665561,0.900901,0.900901,mpfc,known,maternal
H13,chr2,uc008ngc.1_2889,15,0,2,11,0.000107511,0.0125549,0.986842,0.839695,mpfc,known,maternal
H13,chr2,uc008ngc.1_2119,26,2,1,10,5.74E-06,0.00665561,0.925267,0.900901,mpfc,known,maternal
H13,chr2,uc008ngc.1_2103,36,3,1,15,1.26E-07,0.000465258,0.923077,0.931677,mpfc,known,maternal
H13,chr2,uc008ngc.1_1353,88,15,20,141,6.34E-13,1.48E-21,0.854369,0.875776,mpfc,known,maternal
H13,chr2,uc008ngb.1_995,138,18,10,110,7.42E-22,6.93E-20,0.884615,0.916667,mpfc,known,maternal
H13,chr2,uc008ngb.1_342,34,5,3,26,3.42E-06,1.95E-05,0.871795,0.893471,mpfc,known,maternal
H13,chr2,uc008ngb.1_3180,10,1,1,10,0.00665561,0.00665561,0.900901,0.900901,mpfc,known,maternal
H13,chr2,uc008ngb.1_2687,15,0,2,11,0.000107511,0.0125549,0.986842,0.839695,mpfc,known,maternal
H13,chr2,uc008ngb.1_1919,26,2,1,10,5.74E-06,0.00665561,0.925267,0.900901,mpfc,known,maternal
H13,chr2,uc008ngb.1_1903,36,3,1,15,1.26E-07,0.000465258,0.923077,0.931677,mpfc,known,maternal
H13,chr2,uc008ngb.1_1153,88,15,20,141,6.34E-13,1.48E-21,0.854369,0.875776,mpfc,known,maternal
Herc3,chr6,uc009cdh.1_739,227,153,128,163,0.000146978,0.0401953,0.597368,0.560137,mpfc,,maternal
Herc3,chr6,uc009cdh.1_1241,472,406,276,463,0.0259211,6.03E-12,0.537585,0.626522,mpfc,,maternal
Herc3,chr6,uc009cdf.1_3771,472,406,276,463,0.0259211,6.03E-12,0.537585,0.626522,mpfc,,maternal
Herc3,chr6,uc009cdf.1_3269,227,153,128,163,0.000146978,0.0401953,0.597368,0.560137,mpfc,,maternal
Igf2,chr7,uc009kod.1_2313,43,7,15,42,3.56E-07,0.000348575,0.86,0.736842,mpfc,,maternal
Igf2,chr7,uc009koc.1_3344,43,7,15,42,3.56E-07,0.000348575,0.86,0.736842,mpfc,,maternal
Kcnk9,chr15,uc007wbk.1_81,25,5,3,25,0.00026073,3.22E-05,0.833333,0.892857,mpfc,known,maternal
Kctd20,chr17,uc008brz.1_1541,44,22,17,31,0.00676874,0.0433081,0.666667,0.645833,mpfc,,maternal
Kctd20,chr17,uc008bry.1_1308,44,22,17,31,0.00676874,0.0433081,0.666667,0.645833,mpfc,,maternal
Kctd20,chr17,uc008brx.1_1338,44,22,17,31,0.00676874,0.0433081,0.666667,0.645833,mpfc,,maternal
Kctd20,chr17,uc008brw.1_1517,44,22,17,31,0.00676874,0.0433081,0.666667,0.645833,mpfc,,maternal
Lass4,chr8,uc009ktx.1_892,162,123,101,136,0.0208793,0.0229964,0.568421,0.57384,mpfc,,maternal
Ldhd,chr8,uc009nmn.1_900,23,7,4,16,0.003487,0.00729036,0.766667,0.8,mpfc,,maternal
Ldhd,chr8,uc009nmm.1_208,23,7,4,16,0.003487,0.00729036,0.766667,0.8,mpfc,,maternal
Limch1,chr5,uc008xpl.1_1019,30,13,8,20,0.00952879,0.0233422,0.697674,0.714286,mpfc,,maternal
Limch1,chr5,uc008xpj.1_1569,30,13,8,20,0.00952879,0.0233422,0.697674,0.714286,mpfc,,maternal
Limch1,chr5,uc008xph.1_1807,30,13,8,20,0.00952879,0.0233422,0.697674,0.714286,mpfc,,maternal
mKIAA0933,chr16,uc007zzx.1_3440,52,29,20,35,0.0106018,0.0431144,0.641975,0.636364,mpfc,,maternal
mKIAA1102,chr5,uc008xpk.1_1601,30,13,8,20,0.00952879,0.0233422,0.697674,0.714286,mpfc,,maternal
Ncor2,chr5,uc008zra.1_6296,111,65,59,89,0.000525557,0.0136637,0.630682,0.601351,mpfc,,maternal
Ncor2,chr5,uc008zqz.1_6847,111,65,59,89,0.000525557,0.0136637,0.630682,0.601351,mpfc,,maternal
Ncor2,chr5,uc008zqy.1_7058,111,65,59,89,0.000525557,0.0136637,0.630682,0.601351,mpfc,,maternal
Ncor2,chr5,uc008zqx.1_6692,111,65,59,89,0.000525557,0.0136637,0.630682,0.601351,mpfc,,maternal
Ncor2,chr5,uc008zqw.1_3875,111,65,59,89,0.000525557,0.0136637,0.630682,0.601351,mpfc,,maternal
Ncor2,chr5,uc008zqv.1_3477,111,65,59,89,0.000525557,0.0136637,0.630682,0.601351,mpfc,,maternal
Nnt,chr13,uc007ryy.1_659,17,7,5,14,0.0412268,0.0389475,0.708333,0.736842,mpfc,,maternal
Nnt,chr13,uc007ryx.1_1569,17,7,5,14,0.0412268,0.0389475,0.708333,0.736842,mpfc,,maternal
Nnt,chr13,uc007ryw.1_2537,17,7,5,14,0.0412268,0.0389475,0.708333,0.736842,mpfc,,maternal
Ppp1r3c,chr19,uc008hhs.1_360,18,8,5,14,0.0498602,0.0389475,0.692308,0.736842,mpfc,,maternal
Rad23b,chr4,uc008sxj.1_2113,153,120,130,164,0.0457979,0.0473763,0.56044,0.557823,mpfc,,maternal
Rftn2,chr1,uc007bag.1_1282,25,8,4,13,0.00308319,0.029049,0.757576,0.764706,mpfc,,maternal
Scn1b,chr7,uc009gie.1_396,209,152,256,315,0.0026998,0.0135464,0.578947,0.551664,mpfc,,maternal
Slc4a8,chr15,uc007xse.1_9141,21,9,12,24,0.0284597,0.0455003,0.7,0.666667,mpfc,,maternal
Smrte,chr5,uc008zqu.1_444,111,65,59,89,0.000525557,0.0136637,0.630682,0.601351,mpfc,,maternal
Sptlc2,chr12,uc007oiw.1_3407,10,1,1,11,0.00665561,0.00389242,0.900901,0.909091,mpfc,,maternal
Sptlc2,chr12,uc007oiw.1_3402,9,2,2,11,0.0348085,0.0125549,0.818182,0.846154,mpfc,,maternal
Sptlc2,chr12,uc007oiv.1_3603,10,1,1,11,0.00665561,0.00389242,0.900901,0.909091,mpfc,,maternal
Sptlc2,chr12,uc007oiv.1_3598,9,2,2,11,0.0348085,0.0125549,0.818182,0.846154,mpfc,,maternal
Sptlc2,chr12,uc007oiu.1_2107,10,1,1,11,0.00665561,0.00389242,0.900901,0.909091,mpfc,,maternal
Sptlc2,chr12,uc007oiu.1_2102,9,2,2,11,0.0348085,0.0125549,0.818182,0.846154,mpfc,,maternal
Tob1,chr11,uc007kyf.1_145,10,1,4,18,0.00665561,0.00283754,0.900901,0.81448,mpfc,,maternal
Ube2e2,chr14,uc007shv.1_615,95,69,44,66,0.0423302,0.0359389,0.579268,0.6,mpfc,,maternal
Zfp810,chr9,uc009ooj.1_2653,17,7,3,12,0.0412268,0.0201368,0.708333,0.8,mpfc,,maternal
Zubr1,chr4,uc008vmm.1_533,20,9,3,12,0.0410872,0.0201368,0.689655,0.8,mpfc,,maternal
Zubr1,chr4,uc008vmi.1_3197,20,9,3,12,0.0410872,0.0201368,0.689655,0.8,mpfc,,maternal
1110054O05Rik,chr4,uc008tad.1_1154,2,10,10,2,0.0209213,0.0209213,0.833333,0.826446,mpfc,,paternal
1110054O05Rik,chr4,uc008tac.1_1235,2,10,10,2,0.0209213,0.0209213,0.833333,0.826446,mpfc,,paternal
1810054D07Rik,chr4,uc008tkr.1_728,7,29,28,13,0.000245733,0.0191496,0.805556,0.682927,mpfc,,paternal
1810054D07Rik,chr4,uc008tkq.1_728,7,29,28,13,0.000245733,0.0191496,0.805556,0.682927,mpfc,,paternal
2610200G18Rik,chr4,uc008uzi.1_837,97,136,73,46,0.0106195,0.0133204,0.583691,0.613445,mpfc,,paternal
4631426J05Rik,chr7,uc009kby.1_2349,31,51,52,27,0.0272004,0.00491244,0.621951,0.658228,mpfc,,paternal
4631426J05Rik,chr7,uc009kbx.1_2647,31,51,52,27,0.0272004,0.00491244,0.621951,0.658228,mpfc,,paternal
Adam23,chr1,uc007bgh.1_2734,39,68,59,28,0.00505456,0.000888799,0.635514,0.678161,mpfc,,paternal
Adam23,chr1,uc007bgg.1_5081,39,68,59,28,0.00505456,0.000888799,0.635514,0.678161,mpfc,,paternal
AF217545,chr6,uc009bfw.1_398,3,493,208,5,0,5.61E-44,0.993751,0.976526,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_401,0,462,230,4,0,0,0.999567,0.982906,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_333,0,312,155,3,0,1.16E-33,0.999359,0.981013,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_2559,0,155,191,3,1.40E-35,1.62E-41,0.998711,0.984536,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_2576,0,164,192,3,1.51E-37,9.78E-42,0.998782,0.984615,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_1907,0,21,27,0,4.59E-06,2.03E-07,0.990566,0.992647,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_1543,2,673,340,7,0,0,0.997037,0.979827,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_1368,0,278,204,4,0,9.95E-44,0.999281,0.980769,mpfc,known,paternal
AF217545,chr6,uc009bfw.1_1152,1,107,83,1,1.99E-24,3.65E-19,0.989824,0.98692,mpfc,known,paternal
AK013162,chr4,uc008uzj.1_435,56,89,65,38,0.00613456,0.00780504,0.613793,0.631068,mpfc,,paternal
AK013162,chr4,uc008uzj.1_416,51,82,59,39,0.00718726,0.0433518,0.616541,0.602041,mpfc,,paternal
AK013162,chr4,uc008uzj.1_86,97,136,73,46,0.0106195,0.0133204,0.583691,0.613445,mpfc,,paternal
AK013557,chr2,uc008lid.1_2723,146,226,247,205,3.36E-05,0.0482099,0.607527,0.54646,mpfc,,paternal
AK013557,chr2,uc008lid.1_2722,144,220,247,202,6.79E-05,0.0336968,0.604396,0.550111,mpfc,,paternal
AK027941,chr10,uc007gxg.1_990,73,107,165,118,0.0112701,0.0052083,0.594444,0.583039,mpfc,,paternal
AK035927,chr7,uc009hwm.1_728,250,303,163,126,0.0242094,0.0295201,0.54792,0.564014,mpfc,,paternal
AK041405,chr8,uc009lqv.1_3439,49,79,44,25,0.00800994,0.0221765,0.617188,0.637681,mpfc,,paternal
AK045535,chr7,uc009hez.1_617,0,76,87,1,2.84E-18,4.84E-20,0.997375,0.987514,mpfc,,paternal
AK081140,chr7,uc009hek.1_3021,0,23,9,2,1.62E-06,0.0348085,0.991379,0.810811,mpfc,known,paternal
AK082625,chr13,uc007qfc.1_3538,73,99,76,42,0.0474254,0.00174834,0.575581,0.644068,mpfc,,paternal
AK140218,chr17,uc008cad.1_573,10,24,18,7,0.0163512,0.0278069,0.705882,0.72,mpfc,,paternal
AK208597,chr11,uc007mpz.1_1614,5,18,20,9,0.00671439,0.0410872,0.782609,0.689655,mpfc,,paternal
Atp5d,chr10,uc007gbz.1_738,168,219,262,217,0.00952879,0.0397726,0.565891,0.546973,mpfc,,paternal
Atp5d,chr10,uc007gby.1_742,168,219,262,217,0.00952879,0.0397726,0.565891,0.546973,mpfc,,paternal
BC070450,chr7,uc009heo.1_4981,0,22,22,4,2.73E-06,0.000415418,0.990991,0.846154,mpfc,known,paternal
BC070450,chr7,uc009heo.1_4687,0,15,12,0,0.000107511,0.000532006,0.986842,0.983607,mpfc,known,paternal
BC070450,chr7,uc009heo.1_4594,0,36,44,0,1.97E-09,3.28E-11,0.994475,0.995475,mpfc,known,paternal
